Predicted complex	Size (# of subunits)	Co-complex membership_UniProtKB AC	Co-complex membership_UniProtKB EntryName	# of matched subunit in public DB	"""Novel"" proteins"	Annotated proteins	Best-matching CORUM complex	Best-matchng REACTOME complex	Best-mathng PINdb complex	Best-matching HPRD complex	Best-mathng Gene Ontology Cell Component complex	Best-matching MEMO complex, Malovannaya et al	Best-matching FLY complex (orthology), Guruharsha et al.	Best-matching YEAST complex (orthology), Babu el al.,	Taxonomic group
C_238	4	P35580,P46940,Q9BSJ8,P68032	MYH10_HUMAN,IQGA1_HUMAN,ESYT1_HUMAN,ACTC_HUMAN	0	P35580,P46940,P68032,Q9BSJ8,	-	-	-	-	-	-	-	-	-	vertebrates
C_239	4	Q9Y6N9,Q96PV0,Q8TF72,Q96ER3	USH1C_HUMAN,SYGP1_HUMAN,SHRM3_HUMAN,SAAL1_HUMAN	0	Q8TF72,Q96ER3,Q96PV0,Q9Y6N9,	-	-	-	-	-	-	-	-	-	vertebrates
C_240	4	Q01085,P51649,O14828,Q9NR56	TIAR_HUMAN,SSDH_HUMAN,SCAM3_HUMAN,MBNL1_HUMAN	0	O14828,P51649,Q01085,Q9NR56,	-	-	-	-	-	-	-	-	-	vertebrates
C_241	4	Q13472,O75529,O75528,P83369	TOP3A_HUMAN,TAF5L_HUMAN,TADA3_HUMAN,LSM11_HUMAN	2	P83369,Q13472,	O75528,O75529,	CORUM_471::PCAF complex (2.35e-03)	-	-	HPRD_1699::in vivo (1.82e-03)	GO:0030914|STAGA complex (1.13e-02)	-	-	-	vertebrates
C_242	4	P12268,P20839,P00390,P15328	IMDH2_HUMAN,IMDH1_HUMAN,GSHR_HUMAN,FOLR1_HUMAN	0	P00390,P12268,P15328,P20839,	-	-	-	-	-	-	AM000496 (1.75e-04)	-	Y_109 (2.10E-06)	multicellularity
C_243	4	Q9Y3U8,O75676,Q86XP3,Q9BQ61	RL36_HUMAN,KS6A4_HUMAN,DDX42_HUMAN,CS043_HUMAN	0	O75676,Q86XP3,Q9BQ61,Q9Y3U8,	-	-	-	-	-	-	-	-	-	vertebrates
C_244	4	Q9BRP8,P11388,Q96GM8,Q9BZI7	WIBG_HUMAN,TOP2A_HUMAN,TOE1_HUMAN,REN3B_HUMAN	2	P11388,Q96GM8,	Q9BRP8,Q9BZI7,	-	-	-	-	GO:0035145|exon-exon junction complex (9.67e-03)	-	-	-	vertebrates
C_245	4	Q9H269,Q8NBM4,Q2NL82,Q9BVS4	VPS16_HUMAN,UBAC2_HUMAN,TSR1_HUMAN,RIOK2_HUMAN	0	Q2NL82,Q8NBM4,Q9BVS4,Q9H269,	-	-	-	-	-	-	-	-	-	multicellularity
C_246	4	Q01082,Q6SPF0,P98179,O14818	SPTB2_HUMAN,SAMD1_HUMAN,RBM3_HUMAN,PSA7_HUMAN	0	O14818,P98179,Q01082,Q6SPF0,	-	-	-	-	-	-	-	-	-	vertebrates
C_247	4	P00558,Q9H3K6,P09972,P04075	PGK1_HUMAN,BOLA2_HUMAN,ALDOC_HUMAN,ALDOA_HUMAN	0	P00558,P04075,P09972,Q9H3K6,	-	-	-	-	-	-	-	-	-	vertebrates
C_248	4	P82930,Q5JTJ3,P56134,P18859	RT34_HUMAN,CA031_HUMAN,ATPK_HUMAN,ATP5J_HUMAN	2	P82930,Q5JTJ3,	P18859,P56134,	CORUM_563::F1F0-ATP synthase (EC 3.6.3.14), mitochondrial (5.84e-03)	REACT_5736~ATPase CF(0) [mitochondrial inner membrane] (2.81e-03)	-	-	GO:0005753|mitochondrial proton-transporting ATP synthase complex (2.46e-02)	-	-	-	vertebrates
C_249	4	P08670,Q8TCY9,Q9P258,Q9P0W2	VIME_HUMAN,URGCP_HUMAN,RCC2_HUMAN,HM20B_HUMAN	2	Q8TCY9,Q9P258,	P08670,Q9P0W2	-	-	-	-	-	-	-	-	vertebrates
C_250	4	Q9BSE5,Q15020,Q6P161,Q9Y247	SPEB_HUMAN,SART3_HUMAN,RM54_HUMAN,FA50B_HUMAN	0	Q15020,Q6P161,Q9BSE5,Q9Y247,	-	-	-	-	-	-	-	-	-	vertebrates
C_251	4	P35237,P18827,P23526,P49915	SPB6_HUMAN,SDC1_HUMAN,SAHH_HUMAN,GUAA_HUMAN	0	P18827,P23526,P35237,P49915,	-	-	-	-	-	-	-	-	-	vertebrates
C_252	4	Q8IXQ6,Q9H9Q4,Q14CX7,P61599	PARP9_HUMAN,NHEJ1_HUMAN,NAA25_HUMAN,NAA20_HUMAN	0	P61599,Q14CX7,Q8IXQ6,Q9H9Q4,	-	-	-	-	-	-	-	F_67 (1.84E-03)	Y_348 (2.48E-04)	vertebrates
C_253	4	Q15904,Q13501,Q99729,P22626	VAS1_HUMAN,SQSTM_HUMAN,ROAA_HUMAN,ROA2_HUMAN	2	Q13501,Q15904,	P22626,Q99729,	-	-	-	-	-	-	-	-	vertebrates
C_254	4	O75674,O00506,Q16512,P45984	TM1L1_HUMAN,STK25_HUMAN,PKN1_HUMAN,MK09_HUMAN	0	O00506,O75674,P45984,Q16512,	-	-	-	-	-	-	-	-	-	vertebrates
C_255	4	Q9NYL9,P63165,Q9BWH6,Q9H2H8	TMOD3_HUMAN,SUMO1_HUMAN,RPAP1_HUMAN,PPIL3_HUMAN	0	P63165,Q9BWH6,Q9H2H8,Q9NYL9,	-	-	-	-	-	-	-	-	-	vertebrates
C_256	4	O95299,Q9UHQ9,P39210,P00533	NDUAA_HUMAN,NB5R1_HUMAN,MPV17_HUMAN,EGFR_HUMAN	0	O95299,P00533,P39210,Q9UHQ9,	-	-	-	-	-	-	-	-	-	vertebrates
C_257	4	P13667,Q9UMX5,Q92597,O60271	PDIA4_HUMAN,NENF_HUMAN,NDRG1_HUMAN,JIP4_HUMAN	0	O60271,P13667,Q92597,Q9UMX5,	-	-	-	-	-	-	-	-	-	vertebrates
C_258	4	Q6P3W7,P07738,P57721,Q96T58	SCYL2_HUMAN,PMGE_HUMAN,PCBP3_HUMAN,MINT_HUMAN	0	P07738,P57721,Q6P3W7,Q96T58,	-	-	-	-	-	-	-	-	-	vertebrates
C_259	4	P12956,P13010,Q01664,Q13017	XRCC6_HUMAN,XRCC5_HUMAN,TFAP4_HUMAN,RHG05_HUMAN	2	Q01664,Q13017,	P12956,P13010,	CORUM_4081::Ku70/Ku86 complex (9.05e-05)	REACT_3482~Ku70:Ku80 heterodimer [nucleoplasm] (1.41e-04)	PINdb_189::hRap1 Complex- cell growth (3.52e-02)	HPRD_460::in vitro and in vivo (3.78e-04)	GO:0043564|Ku70:Ku80 complex (2.95e-04)	AM000043 (3.86e-04)	F_19 (3.20E-03)	-	vertebrates
C_260	4	Q9NY27,O60664,Q14126,Q9Y6H1	PP4R2_HUMAN,PLIN3_HUMAN,DSG2_HUMAN,CHCH2_HUMAN	0	O60664,Q14126,Q9NY27,Q9Y6H1,	-	-	-	-	-	-	-	-	-	vertebrates
C_261	4	Q14186,Q9HAU5,Q8WWY3,Q9H074	TFDP1_HUMAN,RENT2_HUMAN,PRP31_HUMAN,PAIP1_HUMAN	0	Q14186,Q8WWY3,Q9H074,Q9HAU5,	-	-	-	-	-	-	-	-	-	vertebrates
C_262	4	Q9UP95,Q8TCC3,Q96EY7,Q04941	S12A4_HUMAN,RM30_HUMAN,PTCD3_HUMAN,PLP2_HUMAN	0	Q04941,Q8TCC3,Q96EY7,Q9UP95,	-	-	-	-	-	-	-	-	-	vertebrates
C_263	4	Q8WZ42,Q9H061,Q01130,P82650	TITIN_HUMAN,T126A_HUMAN,SRSF2_HUMAN,RT22_HUMAN	0	P82650,Q01130,Q8WZ42,Q9H061,	-	-	-	-	-	-	-	-	-	multicellularity
C_264	4	P31153,Q00266,Q03426,P53990	METK2_HUMAN,METK1_HUMAN,KIME_HUMAN,IST1_HUMAN	0	P31153,P53990,Q00266,Q03426,	-	-	-	-	-	-	-	-	Y_396 (7.44E-04)	Fungi
C_265	4	O75477,O75746,O43633,Q9BRQ6	ERLN1_HUMAN,CMC1_HUMAN,CHM2A_HUMAN,CHCH6_HUMAN	0	O43633,O75477,O75746,Q9BRQ6,	-	-	-	-	-	-	-	-	-	multicellularity
C_266	4	Q9NRS6,Q96H20,Q9HCE5,Q86U44	SNX15_HUMAN,SNF8_HUMAN,MTL14_HUMAN,MTA70_HUMAN	0	Q86U44,Q96H20,Q9HCE5,Q9NRS6,	-	-	-	-	-	-	AM003164 (1.72e-04)	-	-	vertebrates
C_267	4	P61586,Q15165,O60664,O14974	RHOA_HUMAN,PON2_HUMAN,PLIN3_HUMAN,MYPT1_HUMAN	2	O60664,Q15165,	O14974,P61586,	CORUM_815::MRIP-MBS-RHOA complex (2.12e-04)	-	-	-	-	-	-	-	vertebrates
C_268	4	Q29RF7,P09874,O00159,Q9NR30	PDS5A_HUMAN,PARP1_HUMAN,MYO1C_HUMAN,DDX21_HUMAN	2	O00159,Q29RF7,	P09874,Q9NR30,	-	-	-	HPRD_2998::in vivo (1.78e-02)	-	-	-	-	multicellularity
C_269	4	O94966,O95881,Q9Y490,Q15742	UBP19_HUMAN,TXD12_HUMAN,TLN1_HUMAN,NAB2_HUMAN	0	O94966,O95881,Q15742,Q9Y490,	-	-	-	-	-	-	-	-	-	vertebrates
C_270	4	O76080,Q8TF74,P09132,Q9BWU0	ZFAN5_HUMAN,WIPF2_HUMAN,SRP19_HUMAN,NADAP_HUMAN	0	O76080,P09132,Q8TF74,Q9BWU0,	-	-	-	-	-	-	-	-	-	vertebrates
C_271	4	P36954,P48729,A8MYJ9,Q16630	RPB9_HUMAN,KC1A_HUMAN,IMA2L_HUMAN,CPSF6_HUMAN	0	A8MYJ9,P36954,P48729,Q16630,	-	-	-	-	-	-	-	-	-	Fungi
C_272	4	Q01658,Q14919,P16220,P17544	NC2B_HUMAN,NC2A_HUMAN,CREB1_HUMAN,ATF7_HUMAN	2	P16220,P17544	Q01658,Q14919	-	-	-	-	-	-	-	-	vertebrates
C_273	4	P11182,P38117,P13804,P09622	ODB2_HUMAN,ETFB_HUMAN,ETFA_HUMAN,DLDH_HUMAN	4	-	P09622,P11182,P13804,P38117,	-	REACT_6490~ETF [mitochondrial matrix] (1.45e-04)	-	-	-	AM000074 (2.75e-03)	-	Y_535 (4.13E-04)	Plants &Protists
C_274	4	O43504,Q9H8Y8,O95817,Q99933	HBXIP_HUMAN,GORS2_HUMAN,BAG3_HUMAN,BAG1_HUMAN	0	O43504,O95817,Q99933,Q9H8Y8,	-	-	-	-	-	-	-	-	-	birds
C_275	4	Q9P0L0,Q9UKD2,Q96PK2,P63241	VAPA_HUMAN,MRT4_HUMAN,MACF4_HUMAN,IF5A1_HUMAN	0	P63241,Q96PK2,Q9P0L0,Q9UKD2,	-	-	-	-	-	-	-	-	-	multicellularity
C_276	4	Q9H0D6,Q70J99,O94966,Q6IQ26	XRN2_HUMAN,UN13D_HUMAN,UBP19_HUMAN,DEN5A_HUMAN	0	O94966,Q6IQ26,Q70J99,Q9H0D6,	-	-	-	-	-	-	-	-	-	vertebrates
C_277	4	P50552,Q9BWD1,O75131,Q4VCS5	VASP_HUMAN,THIC_HUMAN,CPNE3_HUMAN,AMOT_HUMAN	0	O75131,P50552,Q4VCS5,Q9BWD1,	-	-	-	-	-	-	-	-	-	vertebrates
C_278	4	Q8IY81,Q9Y4C8,Q9UKD2,P35659	RRMJ3_HUMAN,RBM19_HUMAN,MRT4_HUMAN,DEK_HUMAN	0	P35659,Q8IY81,Q9UKD2,Q9Y4C8,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_279	4	P17693,P43304,Q9H936,Q96CS3	HLAG_HUMAN,GPDM_HUMAN,GHC1_HUMAN,FAF2_HUMAN	0	P17693,P43304,Q96CS3,Q9H936,	-	-	-	-	-	-	-	-	-	vertebrates
C_280	4	Q9UNY4,Q92547,Q03169,P24752	TTF2_HUMAN,TOPB1_HUMAN,TNAP2_HUMAN,THIL_HUMAN	0	P24752,Q03169,Q92547,Q9UNY4,	-	-	-	-	-	-	-	-	-	vertebrates
C_281	4	Q01105,A6NEC2,P07737,O00221	SET_HUMAN,PSAL_HUMAN,PROF1_HUMAN,IKBE_HUMAN	0	A6NEC2,O00221,P07737,Q01105,	-	-	-	-	-	-	-	-	-	vertebrates
C_282	4	Q86XZ4,Q5TBB1,P01111,Q9Y5K6	SPAS2_HUMAN,RNH2B_HUMAN,RASN_HUMAN,CD2AP_HUMAN	0	P01111,Q5TBB1,Q86XZ4,Q9Y5K6,	-	-	-	-	-	-	-	-	-	vertebrates
C_283	4	P26038,P13804,P55084,P40939	MOES_HUMAN,ETFA_HUMAN,ECHB_HUMAN,ECHA_HUMAN	2	P13804,P26038,	P40939,P55084,	-	REACT_5142~Trifunctional Protein [mitochondrial matrix] (1.34e-04)	-	-	-	-	-	-	Fungi
C_284	4	Q9P0S9,Q9NUH8,Q9H9B4,Q14257	TM14C_HUMAN,TM14B_HUMAN,SFXN1_HUMAN,RCN2_HUMAN	0	Q14257,Q9H9B4,Q9NUH8,Q9P0S9,	-	-	-	-	-	-	-	-	-	vertebrates
C_285	4	Q92889,P63146,P63208,P07992	XPF_HUMAN,UBE2B_HUMAN,SKP1_HUMAN,ERCC1_HUMAN	2	P63146,P63208,	P07992,Q92889,	CORUM_2220::RAD52-ERCC4-ERCC1 complex (2.04e-04)	REACT_3454~ERCC1:XPF complex [nucleoplasm] (1.23e-04)	-	HPRD_1718::in vivo (3.67e-04)	GO:0000109|nucleotide-excision repair complex (1.46e-03)	AM000965 (1.55e-04)	-	Y_290 (7.44E-04)	multicellularity
C_286	4	P46060,P35241,P30041,Q14686	RAGP1_HUMAN,RADI_HUMAN,PRDX6_HUMAN,NCOA6_HUMAN	0	P30041,P35241,P46060,Q14686,	-	-	-	-	-	-	-	-	-	vertebrates
C_287	4	P37802,P62937,Q9BY32,P06733	TAGL2_HUMAN,PPIA_HUMAN,ITPA_HUMAN,ENOA_HUMAN	0	P06733,P37802,P62937,Q9BY32,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_288	4	Q8WXC6,Q9Y2U8,P33316,Q9UFG5	MYOV2_HUMAN,MAN1_HUMAN,DUT_HUMAN,CS025_HUMAN	0	P33316,Q8WXC6,Q9UFG5,Q9Y2U8,	-	-	-	-	-	-	-	-	-	birds
C_289	4	Q9UMY4,P25815,O15355,Q96CN5	SNX12_HUMAN,S100P_HUMAN,PPM1G_HUMAN,LRC45_HUMAN	0	O15355,P25815,Q96CN5,Q9UMY4,	-	-	-	-	-	-	-	-	-	vertebrates
C_290	4	P63027,Q9NUW8,Q12931,P62158	VAMP2_HUMAN,TYDP1_HUMAN,TRAP1_HUMAN,CALM_HUMAN	0	P62158,P63027,Q12931,Q9NUW8,	-	-	-	-	-	-	-	-	-	Fungi
C_291	4	O00308,Q96JC1,Q9H270,Q9H9C1	WWP2_HUMAN,VPS39_HUMAN,VPS11_HUMAN,VIPAR_HUMAN	3	O00308,	Q96JC1,Q9H270,Q9H9C1,	CORUM_2573::Class C VPS/HOPS complex (8.31e-04)	-	-	-	GO:0030897|HOPS complex (2.07e-04)	-	-	Y_28 (0.0136)	vertebrates
C_292	4	Q9HBM1,Q8NBT2,Q9BZD4,O14777	SPC25_HUMAN,SPC24_HUMAN,NUF2_HUMAN,NDC80_HUMAN	4	-	O14777,Q8NBT2,Q9BZD4,Q9HBM1,	CORUM_127::NDC80 kinetochore complex (2.91e-10)	REACT_15005~NDC80 complex [cytosol] (7.93e-10)	-	HPRD_1179::in vivo (7.25e-10)	GO:0031262|Ndc80 complex (3.11e-09)	-	-	Y_141 (1.49E-03)	vertebrates
C_293	4	O75717,Q12931,Q9NTZ6,Q8NHP8	WDHD1_HUMAN,TRAP1_HUMAN,RBM12_HUMAN,PLBL2_HUMAN	0	O75717,Q12931,Q8NHP8,Q9NTZ6,	-	-	-	-	-	-	-	-	-	Fungi
C_294	4	O15357,Q9NYT0,Q15555,Q8WYQ5	SHIP2_HUMAN,PLEK2_HUMAN,MARE2_HUMAN,DGCR8_HUMAN	0	O15357,Q15555,Q8WYQ5,Q9NYT0,	-	-	-	-	-	-	-	-	-	vertebrates
C_295	4	Q96P11,Q9BTC8,Q16539,Q14004	NSUN5_HUMAN,MTA3_HUMAN,MK14_HUMAN,CDK13_HUMAN	0	Q14004,Q16539,Q96P11,Q9BTC8,	-	-	-	-	-	-	-	-	-	vertebrates
C_296	4	Q9Y5L0,Q92973,O00410,Q8TEX9	TNPO3_HUMAN,TNPO1_HUMAN,IPO5_HUMAN,IPO4_HUMAN	0	O00410,Q8TEX9,Q92973,Q9Y5L0,	-	-	-	-	-	-	-	-	Y_352 (2.48E-04)	Fungi
C_297	4	Q9UH65,P51692,Q86UX6,Q96DM3	SWP70_HUMAN,STA5B_HUMAN,ST32C_HUMAN,MIC1_HUMAN	0	P51692,Q86UX6,Q96DM3,Q9UH65,	-	-	-	-	-	-	-	-	-	vertebrates
C_298	4	O14975,Q92785,Q14980,Q92542	S27A2_HUMAN,REQU_HUMAN,NUMA1_HUMAN,NICA_HUMAN	0	O14975,Q14980,Q92542,Q92785,	-	-	-	-	-	-	-	-	-	vertebrates
C_299	4	Q15012,O00425,Q1KMD3,O60812	LAP4A_HUMAN,IF2B3_HUMAN,HNRL2_HUMAN,HNRCL_HUMAN	0	O00425,O60812,Q15012,Q1KMD3,	-	-	-	-	-	-	-	-	-	birds
C_300	4	P13647,P12035,P02533,P06756	K2C5_HUMAN,K2C3_HUMAN,K1C14_HUMAN,ITAV_HUMAN	2	P06756,P12035,	P02533,P13647,	-	REACT_20848~Type II hemidesmosome [cytosol, plasma membrane] (4.02e-03)	-	-	-	-	-	-	birds
C_301	4	Q13813,Q15691,P15170,Q5VYK3	SPTA2_HUMAN,MARE1_HUMAN,ERF3A_HUMAN,ECM29_HUMAN	0	P15170,Q13813,Q15691,Q5VYK3,	-	-	-	-	-	-	-	-	-	vertebrates
C_302	4	P61244,Q9H0L4,Q12996,P33240	MAX_HUMAN,CSTFT_HUMAN,CSTF3_HUMAN,CSTF2_HUMAN	2	P61244,Q9H0L4,	P33240,Q12996,	CORUM_1146::Cleavage stimulation factor (2.14e-04)	REACT_3503~CstF [nucleoplasm] (3.21e-04)	-	HPRD_788::in vitro and in vivo (1.78e-03)	-	AM002220 (2.63e-06)	-	Y_144 (7.44E-04)	vertebrates
C_303	4	P63165,Q14914,P30044,Q9BW83	SUMO1_HUMAN,PTGR1_HUMAN,PRDX5_HUMAN,IFT27_HUMAN	0	P30044,P63165,Q14914,Q9BW83,	-	-	-	-	-	-	-	-	-	vertebrates
C_304	4	Q9UHG3,Q9Y639,P61916,P19404	PCYOX_HUMAN,NPTN_HUMAN,NPC2_HUMAN,NDUV2_HUMAN	0	P19404,P61916,Q9UHG3,Q9Y639,	-	-	-	-	-	-	-	-	-	multicellularity
C_305	4	P13984,Q8NFJ5,Q14568,P38646	T2FB_HUMAN,RAI3_HUMAN,HS902_HUMAN,GRP75_HUMAN	0	P13984,P38646,Q14568,Q8NFJ5,	-	-	-	-	-	-	-	-	-	multicellularity
C_306	4	Q9H2G2,Q14108,P11234,Q15233	SLK_HUMAN,SCRB2_HUMAN,RALB_HUMAN,NONO_HUMAN	0	P11234,Q14108,Q15233,Q9H2G2,	-	-	-	-	-	-	-	-	-	vertebrates
C_307	4	P49591,Q8TCS8,O00151,O43716	SYSC_HUMAN,PNPT1_HUMAN,PDLI1_HUMAN,GATCL_HUMAN	0	O00151,O43716,P49591,Q8TCS8,	-	-	-	-	-	-	-	-	-	vertebrates
C_308	4	Q6P4I2,Q9Y6N9,P22314,Q96D46	WDR73_HUMAN,USH1C_HUMAN,UBA1_HUMAN,NMD3_HUMAN	0	P22314,Q6P4I2,Q96D46,Q9Y6N9,	-	-	-	-	-	-	-	-	-	vertebrates
C_309	4	Q9BXS6,A8MXV4,P61916,Q15599	NUSAP_HUMAN,NUD19_HUMAN,NPC2_HUMAN,NHRF2_HUMAN	0	A8MXV4,P61916,Q15599,Q9BXS6,	-	-	-	-	-	-	-	-	-	vertebrates
C_310	4	Q9BTD8,Q13416,Q99567,Q9H1E3	RBM42_HUMAN,ORC2_HUMAN,NUP88_HUMAN,NUCKS_HUMAN	0	Q13416,Q99567,Q9BTD8,Q9H1E3,	-	-	-	-	-	-	-	-	-	vertebrates
C_311	4	P31350,O43447,P22061,P31150	RIR2_HUMAN,PPIH_HUMAN,PIMT_HUMAN,GDIA_HUMAN	0	O43447,P22061,P31150,P31350,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_312	4	Q9NZ09,P09211,P62736,P31946	UBAP1_HUMAN,GSTP1_HUMAN,ACTA_HUMAN,1433B_HUMAN	0	P09211,P31946,P62736,Q9NZ09,	-	-	-	-	-	-	-	-	-	vertebrates
C_313	4	Q96B26,Q15024,Q9NPD3,Q9H0S4	EXOS8_HUMAN,EXOS7_HUMAN,EXOS4_HUMAN,DDX47_HUMAN	3	Q9H0S4,	Q15024,Q96B26,Q9NPD3,	CORUM_788::Exosome (2.30e-05)	REACT_21115~Exosome Ring Hexamer [cytosol] (8.56e-06)	-	HPRD_1452::in vivo (8.90e-05)	-	AM000401 (8.24e-05)	F_41 (1.26E-03)	Y_17 (0.0149)	Plants &Protists
C_314	4	Q8WXH0,P57105,Q14197,O96005	SYNE2_HUMAN,SYJ2B_HUMAN,ICT1_HUMAN,CLPT1_HUMAN	0	O96005,P57105,Q14197,Q8WXH0,	-	-	-	-	-	-	-	-	-	vertebrates
C_315	4	Q9BYJ9,P50454,Q6UWE0,O43813	YTHD1_HUMAN,SERPH_HUMAN,LRSM1_HUMAN,LANC1_HUMAN	0	O43813,P50454,Q6UWE0,Q9BYJ9,	-	-	-	-	-	-	-	-	-	vertebrates
C_316	4	Q96H79,P18206,Q15124,Q9H3Z4	ZCCHL_HUMAN,VINC_HUMAN,PGM5_HUMAN,DNJC5_HUMAN	0	P18206,Q15124,Q96H79,Q9H3Z4,	-	-	-	-	-	-	-	-	-	vertebrates
C_317	4	Q9NZD8,P35080,Q86TG7,Q01581	SPG21_HUMAN,PROF2_HUMAN,PEG10_HUMAN,HMCS1_HUMAN	0	P35080,Q01581,Q86TG7,Q9NZD8,	-	-	-	-	-	-	-	-	-	vertebrates
C_318	4	O14776,P37840,P07602,Q8TB36	TCRG1_HUMAN,SYUA_HUMAN,SAP_HUMAN,GDAP1_HUMAN	0	O14776,P07602,P37840,Q8TB36,	-	-	-	-	-	-	-	-	-	vertebrates
C_319	4	Q96ST3,Q96HC4,Q9UIJ7,Q99798	SIN3A_HUMAN,PDLI5_HUMAN,KAD3_HUMAN,ACON_HUMAN	0	Q96HC4,Q96ST3,Q99798,Q9UIJ7,	-	-	-	-	-	-	-	-	-	Fungi
C_320	4	Q96NB3,Q8TF74,Q9BWU0,O60341	ZN830_HUMAN,WIPF2_HUMAN,NADAP_HUMAN,KDM1A_HUMAN	0	O60341,Q8TF74,Q96NB3,Q9BWU0,	-	-	-	-	-	-	-	-	-	vertebrates
C_321	4	P21127,Q92572,O14617,O00203	CD11B_HUMAN,AP3S1_HUMAN,AP3D1_HUMAN,AP3B1_HUMAN	3	P21127,	O00203,O14617,Q92572,	CORUM_59::AP3 adapter complex (7.27e-06)	REACT_19464~Cargo:AP-1:beta-Arrestin-1:Vamp Complex [Golgi membrane] (3.77e-02)	-	HPRD_921::in vivo (3.73e-04)	-	-	-	Y_159 (3.36E-07)	vertebrates
C_322	4	Q96S82,Q6IBS0,O75688,Q8TAE6	UBL7_HUMAN,TWF2_HUMAN,PPM1B_HUMAN,PP14C_HUMAN	0	O75688,Q6IBS0,Q8TAE6,Q96S82,	-	-	-	-	-	-	-	-	-	vertebrates
C_323	4	O43709,Q9UNH7,O75628,O60346	WBS22_HUMAN,SNX6_HUMAN,REM1_HUMAN,PHLP1_HUMAN	0	O43709,O60346,O75628,Q9UNH7,	-	-	-	-	-	-	-	-	-	vertebrates
C_324	4	P53350,Q96IY1,O14777,P14635	PLK1_HUMAN,NSL1_HUMAN,NDC80_HUMAN,CCNB1_HUMAN	3	P14635,	O14777,P53350,Q96IY1,	-	REACT_14928~KMN network [cytosol] (2.86e-03)	-	HPRD_2491::in vivo (2.21e-03)	-	-	-	-	vertebrates
C_325	4	Q8N1G0,Q8N2C7,Q13247,O75494	ZN687_HUMAN,UNC80_HUMAN,SRSF6_HUMAN,SRS10_HUMAN	0	O75494,Q13247,Q8N1G0,Q8N2C7,	-	-	-	-	-	-	-	-	-	vertebrates
C_326	4	Q17R98,O75348,P36543,O14828	ZN827_HUMAN,VATG1_HUMAN,VATE1_HUMAN,SCAM3_HUMAN	2	O14828,Q17R98,	O75348,P36543,	-	REACT_24241~ATP6V1 [cytosol] (5.45e-03)	-	-	-	-	-	Y_30 (0.0163)	vertebrates
C_327	4	P12081,Q92597,O60271,P08758	SYHC_HUMAN,NDRG1_HUMAN,JIP4_HUMAN,ANXA5_HUMAN	0	O60271,P08758,P12081,Q92597,	-	-	-	-	-	-	-	-	-	vertebrates
C_328	4	Q96JM3,Q7Z2W7,Q96SB4,Q12874	ZN828_HUMAN,TRPM8_HUMAN,SRPK1_HUMAN,SF3A3_HUMAN	0	Q12874,Q7Z2W7,Q96JM3,Q96SB4,	-	-	-	-	-	-	-	-	-	vertebrates
C_329	4	Q96EB1,Q9H9T3,Q6IA86,O95163	ELP4_HUMAN,ELP3_HUMAN,ELP2_HUMAN,ELP1_HUMAN	4	-	O95163,Q6IA86,Q96EB1,Q9H9T3,	CORUM_1380::Elongator holo complex (2.82e-10)	-	PINdb_46::Elongator Complex- transcription (1.36e-07)	HPRD_3080::in vivo (1.01e-08)	GO:0016591|DNA-directed RNA polymerase II, holoenzyme (3.66e-08)	AM000651 (8.84e-07)	F_498 (3.52E-05)	Y_56 (4.99E-10)	Plants &Protists
C_330	4	Q8TED0,Q9NZM5,Q969X6,Q99873	UTP15_HUMAN,GSCR2_HUMAN,CIR1A_HUMAN,ANM1_HUMAN	0	Q8TED0,Q969X6,Q99873,Q9NZM5,	-	-	-	-	-	-	PM000577 (1.10e-03)	-	-	vertebrates
C_331	4	O75347,P25815,P62306,Q96CN5	TBCA_HUMAN,S100P_HUMAN,RUXF_HUMAN,LRC45_HUMAN	0	O75347,P25815,P62306,Q96CN5,	-	-	-	-	-	-	-	-	-	multicellularity
C_332	4	Q92600,Q8WVV9,O75175,A5YKK6	RCD1_HUMAN,HNRLL_HUMAN,CNOT3_HUMAN,CNOT1_HUMAN	3	Q8WVV9,	A5YKK6,O75175,Q92600,	-	REACT_21110~CCR4-NOT Complex [cytosol] (7.32e-05)	PINdb_274::CNOT7-CNOT6L Complex- RNA export (1.46e-03)	HPRD_1435::in vivo (1.35e-03)	-	AM000052 (9.82e-05)	F_94 (8.78E-04)	Y_68 (6.19E-03)	vertebrates
C_333	4	Q96H20,Q8IVD9,Q9HCE5,P52789	SNF8_HUMAN,NUDC3_HUMAN,MTL14_HUMAN,HXK2_HUMAN	0	P52789,Q8IVD9,Q96H20,Q9HCE5,	-	-	-	-	-	-	-	-	-	vertebrates
C_334	4	Q9Y2W2,Q13309,A8MWD9,P08579	WBP11_HUMAN,SKP2_HUMAN,RUXGL_HUMAN,RU2B_HUMAN	2	A8MWD9,Q13309,	P08579,Q9Y2W2,	-	-	-	-	-	-	-	-	vertebrates
C_335	4	Q9Y5J6,Q8IUX1,Q8IX01,P11717	TIM9B_HUMAN,T126B_HUMAN,SUGP2_HUMAN,MPRI_HUMAN	0	P11717,Q8IUX1,Q8IX01,Q9Y5J6,	-	-	-	-	-	-	-	-	-	vertebrates
